Date,Streamflow(CMS),Baseflow(CMS)
2017-04-19,2.871903193,1.709
2017-04-20,2.409553881,1.573
2017-04-21,2.243076514,1.456
2017-04-22,2.082729232,1.349
2017-04-23,1.880649241,1.235
2017-04-24,1.717455127,1.129
2017-04-25,1.571304426,1.033
2017-04-26,1.385215639,0.929
2017-04-27,1.305339612,0.854
2017-04-28,1.248916783,0.8
2017-04-29,1.160021315,0.746
2017-04-30,1.09852802,0.701
2017-05-01,1.107059286,0.682
2017-05-02,0.999360798,0.639
2017-05-03,0.968561937,0.609
2017-05-04,0.893237086,0.571
2017-05-05,0.745867388,0.507
2017-05-06,0.491646607,0.397
2017-05-07,0.456101625,0.333
2017-05-08,0.43696202,0.296
2017-05-09,0.429292642,0.276
2017-05-10,0.467038542,0.278
2017-05-11,0.480709689,0.283
2017-05-12,0.424179724,0.268
2017-05-13,0.393502216,0.252
2017-05-14,0.413953888,0.25
2017-05-15,0.375607002,0.237
2017-05-16,0.375607002,0.231
2017-05-17,0.368477052,0.226
2017-05-18,0.581720227,0.29
2017-05-19,0.806890033,0.39
2017-05-20,0.701989456,0.406
2017-05-21,0.563696366,0.371
2017-05-22,0.500025201,0.334
2017-05-23,0.445164708,0.299
2017-05-24,0.594263614,0.329
2017-05-25,1.215957545,0.536
2017-05-26,1.063292845,0.589
2017-05-27,0.875248117,0.556
2017-05-28,0.803461982,0.518
2017-05-29,0.762325376,0.487
2017-05-30,0.625205504,0.429
2017-05-31,0.572426772,0.385
2017-06-01,1.067220942,0.517
2017-06-02,3.166247734,1.232
2017-06-03,1.736044608,1.134
2017-06-04,1.2754878,0.943
2017-06-05,1.058528971,0.784
2017-06-06,0.840116305,0.639
2017-06-07,1.716962296,0.841
2017-06-08,1.938563401,1.008
2017-06-09,1.385867541,0.917
2017-06-10,1.136583292,0.795
2017-06-11,0.886715293,0.659
2017-06-12,0.698561406,0.535
2017-06-13,0.557876095,0.431
2017-06-14,0.497115065,0.362
2017-06-15,0.550368451,0.346
2017-06-16,0.561833086,0.341
2017-06-17,0.431849101,0.299
2017-06-18,0.368477052,0.259
2017-06-19,0.344710551,0.232
2017-06-20,0.344710551,0.219
2017-06-21,0.356593802,0.216
2017-06-22,0.375607002,0.221
2017-06-23,0.416510347,0.236
2017-06-24,0.461570084,0.257
2017-06-25,0.66618176,0.331
2017-06-26,1.134475797,0.512
2017-06-27,1.08362453,0.583
2017-06-28,0.945964482,0.575
2017-06-29,0.875248117,0.549
2017-06-30,0.782893679,0.508
2017-07-01,0.72461682,0.47
2017-07-02,0.987067873,0.533
2017-07-03,22.81085634,7.337
2017-07-04,23.42107266,10.811
2017-07-05,7.795967084,7.639
2017-07-06,3.738854039,4.848
2017-07-07,2.815394757,3.214
2017-07-08,4.79817221,3.041
2017-07-09,5.696254042,3.236
2017-07-10,10.12337163,4.704
2017-07-11,14.43823306,6.752
2017-07-12,7.66728706,5.639
2017-07-13,5.490322074,4.426
2017-07-14,4.369467619,3.493
2017-07-15,4.94815272,3.222
2017-07-16,19.70027183,7.669
2017-07-17,16.58144818,8.848
2017-07-18,9.011779921,7.068
2017-07-19,6.595740767,5.459
2017-07-20,5.331314701,4.29
2017-07-21,4.525939917,3.476
2017-07-22,4.181552795,2.976
2017-07-23,4.727382253,2.904
2017-07-24,6.090017615,3.292
2017-07-25,6.897305974,3.73
2017-07-26,5.102478897,3.384
2017-07-27,4.104900586,2.908
2017-07-28,3.722597255,2.559
2017-07-29,5.863787606,3.055
2017-07-30,5.017365177,3.032
2017-07-31,5.564644959,3.191
2017-08-01,7.513064764,3.872
2017-08-02,5.597748464,3.606
2017-08-03,4.848187653,3.245
2017-08-04,4.116344044,2.844
2017-08-05,3.702678859,2.522
2017-08-06,3.41260692,2.277
2017-08-07,2.473410921,1.867
2017-08-08,1.710192203,1.432
2017-08-09,1.997652803,1.311
2017-08-10,15.99159338,5.596
2017-08-11,37.10453972,14.217
